iata_code,airline_name,region,functional_currency,ebit_usd,load_factor,low_cost_carrier,airline_age,num_routes,passenger_yield,ask,avg_fleet_age,fleet_size,aircraft_utilisation
5J,Cebu Pacific,Asia Pacific,PHP,154889735.0,0.84,Y,-0.5002362490897352,-0.5860847801446661,-1.5375940266621677,27573157304.0,5.9,88.0,
GA,Garuda Indonesia,Asia Pacific,USD,309859637.0,0.749,N,0.869745378118411,-0.7690470399241449,-0.23288859612094762,32820000000.0,,137.0,7.9
CX,Cathay Pacific,Asia Pacific,HKD,1664200000.0,0.857,N,0.9382444594788184,-0.290230913267211,0.26596936261540105,85607000000.0,11.1,181.0,7.7
HU,Hainan Airlines,Asia Pacific,CNY,,,N,,,,,,,
PR,Philippine Airlines,Asia Pacific,PHP,507044466.0,0.81,N,1.1094921628798367,-0.6133344784096949,-0.3480096635216436,43734000000.0,9.2,78.0,
TG,Thai Airways,Asia Pacific,THB,1177800000.0,0.823,N,0.4587508899559672,-0.5237997555388861,-0.04102015045312153,54280000000.0,,70.0,12.2
SG,SpiceJet,Asia Pacific,INR,-129156000.0,0.87,N,-0.3632380863689205,,,18251000000.0,,76.0,
PK,PIA,Asia Pacific,PKR,,,N,,,,,,,
JT,Lion Air,Asia Pacific,IDR,,,Y,,,,,,,
OZ,Asiana Airlines,Asia Pacific,KRW,481273566.0,0.78,N,-0.5002362490897352,,,43119291000.0,12.1,81.0,
9C,Spring Airlines,Asia Pacific,CNY,,,Y,,,,,,,
SU,Aeroflot,Asia Pacific,RUB,2036990000.0,0.875,N,1.7259838951235025,-0.15008960790420597,0.7264536322181844,141000000000.0,8.9,349.0,
NH,ANA,Asia Pacific,JPY,898899000.0,0.736,N,0.7327472153975965,-0.23183870269929224,1.2253115909545331,85776000000.0,,268.0,
NQ,Air Japan,Asia Pacific,JPY,,,Y,,,,,,,
UO,HK Express,Asia Pacific,HKD,,,Y,,,,,7.1,33.0,
